Marca temporal,¿Qué semestre cursas?,¿Qué edad tienes? ,¿Cual es tu origen? (Lugar de Nacimiento),Género ,¿Conoces acerca de las consecuencias de consumir estas bebidas? (Cafeína y Energeticas),¿Consumes alguna de las siguientes bebidas?,¿Con que frecuencia consumes estas bebidas?,¿En que momento del día sueles consumir estas bebidas?,¿Cual es tu principal motivo para consumir estas bebidas?,¿Cuántas materias cursas en la universidad?,"¿Has experimentado efectos secundarios(Ansiedad, insomnio, etc.) después de consumirlas? ",¿Como consideras que estas bebidas afectan tu rendimiento academico?,¿Cuánto gastas aproximadamente a la semana en estas bebidas?
23/4/2026 11:29:19,3,21,Pasto,Masculino,No,"Café, Bebidas Energéticas",5 veces por semana,Varia,Mantenerme despierto/a,6,Si,Mejora mi rendimiento,10.000- 20.000
23/4/2026 11:31:39,2,18,La unión Nariño ,Masculino,Si,"Café, Bebidas Energéticas",5 veces por semana,Varia,Mantenerme despierto/a,6,Si,No tiene efecto,10.000- 20.000
23/4/2026 11:33:11,4,19,Pasto - Nariño ,Femenino,Si,"Café, Bebidas Energéticas",2 veces por semana,Varia,Mantenerme despierto/a,6,Si,No estoy seguro/a,3.000-10.000
23/4/2026 11:37:08,2,22,Pasto,Masculino,Si,Bebidas Energéticas,Nunca,Nunca,Otro,7,No,No estoy seguro/a,No gasto nada
23/4/2026 11:38:26,3,22,Pasto,Femenino,Si,"Café, Bebidas Energéticas",6 veces por semana,Mañana,Costumbre,6,Si,No estoy seguro/a,10.000- 20.000
23/4/2026 11:44:10,4,21,"Pasto, Nariño",Masculino,Si,"Café, Bebidas Energéticas",3 veces por semana,Varia,Otro,Mas de 7,No,No tiene efecto,3.000-10.000
23/4/2026 11:44:38,3,20,Pasto Nariño ,Masculino,Si,Café,6 veces por semana,Varia,Mantenerme despierto/a,6,Si,No tiene efecto,3.000-10.000
23/4/2026 11:58:36,2,18,Pasto,Masculino,Si,Bebidas Energéticas,1 vez por semana,Varia,Sabor,4,No,No tiene efecto,3.000-10.000
23/4/2026 12:22:07,3,18,Pasto,Femenino,Si,"Café, Bebidas Energéticas",5 veces por semana,Varia,Mantenerme despierto/a,Mas de 7,No,No estoy seguro/a,20.000-25.000
23/4/2026 12:22:09,3,19,Pasto ,Femenino,Si,Café,6 veces por semana,Mañana,Costumbre,6,No,No tiene efecto,10.000- 20.000
23/4/2026 12:23:29,3,20,Pasto - Nariño,Femenino,Si,"Café, Bebidas Energéticas",1 vez por semana,Mañana,Mantenerme despierto/a,6,No,No tiene efecto,3.000-10.000
23/4/2026 12:24:34,3,22,"Cali, Colombia ",Masculino,Si,Café,9 veces por semana,Mañana,Costumbre,6,No,No tiene efecto,10.000- 20.000
23/4/2026 12:24:50,3,17,Pasto Nariño ,,Si,Bebidas Energéticas,1 vez por semana,Noche,Mantenerme despierto/a,7,No,No estoy seguro/a,3.000-10.000
23/4/2026 12:38:57,3,20,kk,Masculino,Si,"Café, Bebidas Energéticas",1 vez por semana,Mañana,Mantenerme despierto/a,7,No,Mejora mi rendimiento,10.000- 20.000
23/4/2026 13:43:54,3,30,Pasto,Femenino,No,Café,7 veces por semana,Mañana,Costumbre,4,No,No tiene efecto,20.000-25.000
23/4/2026 15:47:30,2,19,Pasto,Masculino,Si,Café,4 veces por semana,Mañana,Sabor,7,No,No estoy seguro/a,3.000-10.000
23/4/2026 15:47:41,2,21,Tuquerres ,Femenino,Si,Café,5 veces por semana,Mañana,Costumbre,Mas de 7,Si,No estoy seguro/a,3.000-10.000
23/4/2026 15:48:21,2,20,Pamplona ,Femenino,Si,Café,5 veces por semana,Varia,Costumbre,6,No,No tiene efecto,10.000- 20.000
23/4/2026 15:48:52,2,20,Pasto,Masculino,Si,"Café, Bebidas Energéticas",10 veces por semana,Varia,Costumbre,Mas de 7,Si,No tiene efecto,Más de 25.000
23/4/2026 15:48:59,2,23,Pasto,Femenino,Si,Café,3 veces por semana,Mañana,Sabor,6,No,No tiene efecto,3
23/4/2026 15:49:08,3,19,pasto ,Femenino,Si,Bebidas Energéticas,1 vez por semana,Noche,Mantenerme despierto/a,Mas de 7,Si,No estoy seguro/a,3.000-10.000
23/4/2026 15:50:43,2,23,Bogota,Masculino,Si,"Café, Bebidas Energéticas, Otros",10 veces por semana,Varia,Mantenerme despierto/a,Mas de 7,No,Mejora mi rendimiento,Más de 25.000
23/4/2026 15:59:35,2,18,Pasto,Femenino,Si,"Café, Bebidas Energéticas",4 veces por semana,Noche,Mantenerme despierto/a,5,No,Mejora mi rendimiento,Más de 25.000
23/4/2026 16:01:37,2,21,Policarpa,Masculino,Si,"Café, Bebidas Energéticas",4 veces por semana,Noche,Mantenerme despierto/a,Mas de 7,Si,Mejora mi rendimiento,10.000- 20.000
23/4/2026 16:07:11,2,22,Armenia quindio ,Femenino,Si,Café,4 veces por semana,Mañana,Costumbre,7,No,No tiene efecto,10.000- 20.000
23/4/2026 16:07:40,7,25,Armenia ,Femenino,Si,Café,7 veces por semana,Varia,Costumbre,6,No,No tiene efecto,3.000-10.000
23/4/2026 16:32:40,2,25,Pasto Nariño ,Masculino,Si,Café,5 veces por semana,Mañana,Costumbre,6,No,No tiene efecto,3.000-10.000
23/4/2026 16:35:28,2,18,pasto ,Masculino,Si,Café,3 veces por semana,Tarde,Mejorar la concentración,6,Si,No tiene efecto,3.000-10.000
23/4/2026 16:38:50,2,29,Pasto,Masculino,Si,Café,10 veces por semana,Varia,Sabor,Mas de 7,No,No tiene efecto,Más de 25.000
23/4/2026 16:40:46,3,19,Pasto Nariño,Masculino,Si,"Café, Bebidas Energéticas",2 veces por semana,Varia,Sabor,Mas de 7,No,No tiene efecto,3.000-10.000
23/4/2026 16:42:23,8,24,Pasto,Masculino,No,Café,3 veces por semana,Tarde,Sabor,7,No,No estoy seguro/a,No gasto nada
23/4/2026 17:04:49,5,21,Pasto,Femenino,Si,Bebidas Energéticas,2 veces por semana,Tarde,Mantenerme despierto/a,7,No,Mejora mi rendimiento,3.000-10.000
23/4/2026 20:07:47,3,20,Pasto,Femenino,Si,Café,4 veces por semana,Varia,Costumbre,7,No,Lo empeora,3.000-10.000
24/4/2026 7:11:24,10,24,Pasto ,Masculino,Si,Café,3 veces por semana,Mañana,Costumbre,Mas de 7,No,No tiene efecto,No gasto nada
27/4/2026 10:43:06,3,22,Pasto,Masculino,Si,"Café, Bebidas Energéticas",6 veces por semana,Mañana,Costumbre,Mas de 7,No,No tiene efecto,3
27/4/2026 10:47:27,2,29,Pasto,Masculino,Si,"Café, Bebidas Energéticas, Otros",1 vez por semana,Tarde,Otro,Mas de 7,No,No estoy seguro/a,3.000-10.000
27/4/2026 10:51:09,2,21,Pasto ,Femenino,Si,Café,6 veces por semana,Mañana,Costumbre,6,No,No tiene efecto,3.000-10.000
27/4/2026 10:51:53,2,21,Pasto,Masculino,Si,Café,3 veces por semana,Tarde,Costumbre,6,No,No tiene efecto,10.000- 20.000
27/4/2026 10:52:49,7,35,Pasto,Femenino,Si,Café,10 veces por semana,Mañana,Mejorar la concentración,6,No,No tiene efecto,3
27/4/2026 10:54:30,2,18,Pasto ,Femenino,Si,Bebidas Energéticas,1 vez por semana,Varia,Mantenerme despierto/a,Mas de 7,Si,No estoy seguro/a,3.000-10.000
27/4/2026 10:57:35,2,19,Buesaco,Femenino,Si,Café,5 veces por semana,Mañana,Costumbre,6,No,No tiene efecto,10.000- 20.000
27/4/2026 11:00:32,1,24,Cali,Femenino,Si,Café,7 veces por semana,Mañana,Costumbre,7,No,No estoy seguro/a,3.000-10.000
27/4/2026 13:20:36,8,20,Madrid - España ,Femenino,Si,Café,10 veces por semana,Varia,Costumbre,Mas de 7,Si,No tiene efecto,10.000- 20.000
27/4/2026 14:28:08,3,23,Pasto nariño,Femenino,Si,Café,10 veces por semana,Mañana,Sabor,5,No,No tiene efecto,Más de 25.000
